company,会社
office,事務所
meeting,会議
department,部門、課
worker,労働者
several,いくつかの
job,仕事
money,お金
problem,問題
available,利用可能な
sales,売上高
quite,かなり
board,会議体
store,店、保管する
likely,起こりそうな
employee,従業員
customer,顧客
product,製品
vacation,休暇
increase,増加させる
machine,機械
president,社長
same,同じ
found,設立する
offer,申し出る
advertisement,広告
believe,信じる
order,順番、注文する
receive,受け取る
let,～に～をさせる
expensive,高価な
announcement,発表
due,納期、期限の
report,報告
possible,可能な
program,計画
secretary,秘書
price,価格
amount,量
university,大学
experience,経験
however,しかし、だけれども
survey,調査
bank,銀行
change,お釣り
cost,費用
manager,管理者、マネージャー
own,自身の
check,会計
current,現在の
factory,工場
though,～だけれども
quality,品質
purchase,購入する
contact,接点、連絡を取る
kind,親切な
major,主要な
probably,おそらく
purpose,目的
although,～だけれども
mention,言う、言及する
someone,誰か
present,現在の
thank,感謝、感謝する
important,重要な、大切な
complete,完了する
enough,十分な
least,最もすくない
passenger,乗客
state,言う
various,様々な
allow,許可する
appear,現れる
furniture,家具
market,市場
respond,返答する
almost,ほとんど
process,工程
government,政府
throughout,至るところに
extra,余分の
arrive,到着する
college,大学
museum,博物館
contract,契約
policy,政策、信念
budget,予算
virus,ウイルス
specific,特定の、特別な
research,研究、研究する
behind,～の後ろに
equipment,装置、設備
production,生産
industry,業界、産業
provide,提供する
consider,検討する、考える
delivery,郵送、配達
financial,金融の、財政の
result,結果
chance,機会
second,秒
regular,定期的に
prior,優先の
entire,全体の
design,設計する
completely,完全に
wonderful,素晴らしい
vehicle,車両、車
situation,状況
package,包み、荷物
begin,開始する
recent,最近の
serious,深刻な
across,交差して
library,図書館
account,口座
management,管理
expect,期待する
request,要望、要望する
popular,人気
conversation,会話
organization,組織
produce,生産する
notice,知らせる、お知らせ
speaker,話し手
community,共同体
idea,考え
cause,引き起こす
culture,文化
shipment,出荷
client,顧客
conference,会議
suggest,提案する
form,形作る
modern,近代の
union,組合
charge,充電する
fire,クビにする
sign,署名
decide,決定する
brochure,パンフレット、小冊子
ability,能力
international,国際的な
discuss,議論する
forward,前に進む、前に
deal,取引する
avoid,避ける
care,気にする
discount,割引する
construction,建設
director,取締役
public,公共の
bicycle,自転車
damage,損傷
extremely,非常に
editorial,社説の、編集の
reservation,予約
advantage,利点
address,住所
matter,事態
immediately,すぐに
ancient,古代の
unless,～でない限り
attend,出席する
legal,法的な
personal,個人的な
save,保存する、貯蓄する
hardly,ほとんど～ない
condition,条件
insurance,保険
century,世紀
corporation,法人
document,書類
perhaps,おそらく
continue,継続する
warranty,保証
refund,払い戻し
famous,有名な
directly,直接に
whether,どちらか
particular,特定の
additional,追加の
arrange,手配する
display,表示する
simply,単に
recently,最近、
common,共通の
exactly,正確に
natural,自然の
finally,ついに
dear,親愛なる
accounting,会計
surprised,驚いた
period,期間
value,値、価値
